epoch,learning_rate,batch_size,num_epochs,dropout_rate,max_length,accuracy,class_name,precision,recall,f1-score,support,time
,,,,,,,L,0.6909090909090909,0.42696629213483145,0.5277777777777778,89.0,
,,,,,,,N,0.8462783171521036,0.9111498257839721,0.87751677852349,574.0,
,,,,,,,R,0.7769230769230769,0.7481481481481481,0.7622641509433963,270.0,
,,,,,,0.8177920685959271,,,,,,
,,,,,,,macro avg,0.7713701616614238,0.6954214220223172,0.7225195690815548,933.0,
,,,,,,,weighted avg,0.8113868101880464,0.8177920685959271,0.810801901231964,933.0,
2,2e-05,8,2,0.1,256,0.8252947481243301,,,,,,
,,,,,,,L,0.6527777777777778,0.5280898876404494,0.5838509316770186,89.0,
,,,,,,,N,0.8739352640545145,0.8937282229965157,0.8837209302325582,574.0,
,,,,,,,R,0.7664233576642335,0.7777777777777778,0.7720588235294118,270.0,
,,,,,,0.8252947481243301,,,,,,
,,,,,,,macro avg,0.7643787998321753,0.7331986294715809,0.7465435618129962,933.0,
,,,,,,,weighted avg,0.821726013246363,0.8252947481243301,0.8228021749471428,933.0,
1,2e-05,8,2,0.3,128,0.7909967845659164,,,,,,
,,,,,,,L,0.5932203389830508,0.39325842696629215,0.47297297297297297,89.0,
,,,,,,,N,0.8549747048903878,0.8832752613240418,0.8688946015424165,574.0,
,,,,,,,R,0.697508896797153,0.725925925925926,0.7114337568058077,270.0,
,,,,,,0.7909967845659164,,,,,,
,,,,,,,macro avg,0.7152346468901972,0.6674865380720867,0.6844337771070657,933.0,
,,,,,,,weighted avg,0.7844367555324817,0.7909967845659164,0.785559710844062,933.0,
2,2e-05,8,2,0.3,128,0.827438370846731,,,,,,
,,,,,,,L,0.6933333333333334,0.5842696629213483,0.6341463414634146,89.0,
,,,,,,,N,0.8621848739495799,0.8937282229965157,0.8776732249786142,574.0,
,,,,,,,R,0.7870722433460076,0.7666666666666667,0.776735459662289,270.0,
,,,,,,0.827438370846731,,,,,,
,,,,,,,macro avg,0.7808634835429736,0.7482215175281769,0.7628516753681059,933.0,
,,,,,,,weighted avg,0.8243411468565355,0.827438370846731,0.8252326148304249,933.0,
1,2e-05,8,2,0.3,256,0.7942122186495176,,,,,,
,,,,,,,L,0.9230769230769231,0.2696629213483146,0.41739130434782606,89.0,
,,,,,,,N,0.8285256410256411,0.9006968641114983,0.8631051752921536,574.0,
,,,,,,,R,0.7067137809187279,0.7407407407407407,0.7233273056057866,270.0,
,,,,,,0.7942122186495176,,,,,,
,,,,,,,macro avg,0.8194387816737642,0.6370335087335178,0.6679412617485888,933.0,
,,,,,,,weighted avg,0.8022939817262815,0.7942122186495176,0.7801378019487837,933.0,
2,2e-05,8,2,0.3,256,0.8167202572347267,,,,,,
,,,,,,,L,0.5806451612903226,0.6067415730337079,0.5934065934065934,89.0,
,,,,,,,N,0.8698630136986302,0.8850174216027874,0.8773747841105354,574.0,
,,,,,,,R,0.78125,0.7407407407407407,0.7604562737642585,270.0,
,,,,,,0.8167202572347267,,,,,,
,,,,,,,macro avg,0.7439193916629843,0.7441665784590787,0.7437458837604624,933.0,
,,,,,,,weighted avg,0.8166305350673659,0.8167202572347267,0.8164517757866921,933.0,
1,2e-05,8,3,0.1,128,0.812433011789925,,,,,,
,,,,,,,L,0.5,0.550561797752809,0.5240641711229946,89.0,
,,,,,,,N,0.8760757314974182,0.8867595818815331,0.8813852813852814,574.0,
,,,,,,,R,0.7874015748031497,0.7407407407407407,0.7633587786259542,270.0,
,,,,,,0.812433011789925,,,,,,
,,,,,,,macro avg,0.7211591021001893,0.7260207067916943,0.7229360770447434,933.0,
,,,,,,,weighted avg,0.8145400804677045,0.812433011789925,0.8131444083323749,933.0,
2,2e-05,8,3,0.1,128,0.8285101822079314,,,,,,
,,,,,,,L,0.6666666666666666,0.5617977528089888,0.6097560975609756,89.0,
,,,,,,,N,0.851373182552504,0.9181184668989547,0.8834870075440067,574.0,
,,,,,,,R,0.8200836820083682,0.725925925925926,0.7701375245579568,270.0,
,,,,,,0.8285101822079314,,,,,,
,,,,,,,macro avg,0.7793745104091796,0.7352807152112898,0.7544602098876463,933.0,
,,,,,,,weighted avg,0.8246989649096785,0.8285101822079314,0.8245733833267256,933.0,
3,2e-05,8,3,0.1,128,0.834941050375134,,,,,,
,,,,,,,L,0.627906976744186,0.6067415730337079,0.6171428571428571,89.0,
,,,,,,,N,0.8780068728522337,0.8902439024390244,0.884083044982699,574.0,
,,,,,,,R,0.8075471698113208,0.7925925925925926,0.8,270.0,
,,,,,,0.834941050375134,,,,,,
,,,,,,,macro avg,0.7711536731359135,0.7631926893551083,0.7670753007085187,933.0,
,,,,,,,weighted avg,0.8337592730937528,0.834941050375134,0.8342865831787605,933.0,
1,2e-05,8,3,0.1,256,0.8027867095391211,,,,,,
,,,,,,,L,0.7368421052631579,0.3146067415730337,0.4409448818897638,89.0,
,,,,,,,N,0.8641765704584041,0.8867595818815331,0.8753224419604472,574.0,
,,,,,,,R,0.6928104575163399,0.7851851851851852,0.7361111111111112,270.0,
,,,,,,0.8027867095391211,,,,,,
,,,,,,,macro avg,0.7646097110793008,0.6621838362132507,0.6841261449871073,933.0,
,,,,,,,weighted avg,0.8024385019731584,0.8027867095391211,0.7936004031870157,933.0,
2,2e-05,8,3,0.1,256,0.8306538049303323,,,,,,
,,,,,,,L,0.6341463414634146,0.5842696629213483,0.6081871345029239,89.0,
,,,,,,,N,0.8642384105960265,0.9094076655052264,0.8862478777589134,574.0,
,,,,,,,R,0.8137651821862348,0.7444444444444445,0.7775628626692457,270.0,
,,,,,,0.8306538049303323,,,,,,
,,,,,,,macro avg,0.7707166447485587,0.7460405909570064,0.7573326249770277,933.0,
,,,,,,,weighted avg,0.8276832489417433,0.8306538049303323,0.8282710715166912,933.0,
3,2e-05,8,3,0.1,256,0.8360128617363344,,,,,,
,,,,,,,L,0.691358024691358,0.6292134831460674,0.6588235294117647,89.0,
,,,,,,,N,0.8767123287671232,0.89198606271777,0.8842832469775475,574.0,
,,,,,,,R,0.7910447761194029,0.7851851851851852,0.7881040892193308,270.0,
,,,,,,0.8360128617363344,,,,,,
,,,,,,,macro avg,0.7863717098592947,0.7687949103496742,0.7770702885362143,933.0,
,,,,,,,weighted avg,0.8342399040322599,0.8360128617363344,0.8349431746752183,933.0,
1,2e-05,8,3,0.3,128,0.7984994640943194,,,,,,
,,,,,,,L,0.6590909090909091,0.3258426966292135,0.43609022556390975,89.0,
,,,,,,,N,0.8215384615384616,0.9303135888501742,0.8725490196078431,574.0,
,,,,,,,R,0.7615062761506276,0.674074074074074,0.7151277013752456,270.0,
,,,,,,0.7984994640943194,,,,,,
,,,,,,,macro avg,0.7473785489266661,0.6434101198511539,0.6745889821823329,933.0,
,,,,,,,weighted avg,0.7886697346118299,0.7984994640943194,0.7853586781365555,933.0,
2,2e-05,8,3,0.3,128,0.827438370846731,,,,,,
,,,,,,,L,0.6022727272727273,0.5955056179775281,0.5988700564971752,89.0,
,,,,,,,N,0.8684654300168634,0.8972125435540069,0.882604970008569,574.0,
,,,,,,,R,0.8095238095238095,0.7555555555555555,0.7816091954022989,270.0,
,,,,,,0.827438370846731,,,,,,
,,,,,,,macro avg,0.7600873222711334,0.7494245723623635,0.7543614073026811,933.0,
,,,,,,,weighted avg,0.8260159251108048,0.827438370846731,0.8263120799268895,933.0,
3,2e-05,8,3,0.3,128,0.827438370846731,,,,,,
,,,,,,,L,0.6067415730337079,0.6067415730337079,0.6067415730337079,89.0,
,,,,,,,N,0.8711864406779661,0.8954703832752613,0.8831615120274914,574.0,
,,,,,,,R,0.8031496062992126,0.7555555555555555,0.7786259541984732,270.0,
,,,,,,0.827438370846731,,,,,,
,,,,,,,macro avg,0.7603592066702954,0.7525891706215083,0.756176346419891,933.0,
,,,,,,,weighted avg,0.826271608413655,0.827438370846731,0.8265420316584864,933.0,
1,2e-05,8,3,0.3,256,0.8060021436227224,,,,,,
,,,,,,,L,0.6346153846153846,0.3707865168539326,0.46808510638297873,89.0,
,,,,,,,N,0.8469055374592834,0.9059233449477352,0.8754208754208754,574.0,
,,,,,,,R,0.7453183520599251,0.737037037037037,0.7411545623836127,270.0,
,,,,,,0.8060021436227224,,,,,,
,,,,,,,macro avg,0.7422797580448645,0.6712489662795682,0.694886848062489,933.0,
,,,,,,,weighted avg,0.7972567018098368,0.8060021436227224,0.7977094199391671,933.0,
2,2e-05,8,3,0.3,256,0.8242229367631297,,,,,,
,,,,,,,L,0.6043956043956044,0.6179775280898876,0.6111111111111112,89.0,
,,,,,,,N,0.8626465661641541,0.8972125435540069,0.8795900939368061,574.0,
,,,,,,,R,0.8122448979591836,0.737037037037037,0.7728155339805826,270.0,
,,,,,,0.8242229367631297,,,,,,
,,,,,,,macro avg,0.7597623561729807,0.7507423695603105,0.7545055796761666,933.0,
,,,,,,,weighted avg,0.8234260023777202,0.8242229367631297,0.8230801682565626,933.0,
3,2e-05,8,3,0.3,256,0.8306538049303323,,,,,,
,,,,,,,L,0.6129032258064516,0.6404494382022472,0.6263736263736264,89.0,
,,,,,,,N,0.8684654300168634,0.8972125435540069,0.882604970008569,574.0,
,,,,,,,R,0.8218623481781376,0.7518518518518519,0.7852998065764023,270.0,
,,,,,,0.8306538049303323,,,,,,
,,,,,,,macro avg,0.7677436680004842,0.7631712778693687,0.7647594676528658,933.0,
,,,,,,,weighted avg,0.8306006194368177,0.8306538049303323,0.8300037012945337,933.0,
1,2e-05,8,4,0.1,128,0.8113612004287245,,,,,,
,,,,,,,L,0.7321428571428571,0.4606741573033708,0.5655172413793104,89.0,
,,,,,,,N,0.8519736842105263,0.9024390243902439,0.8764805414551607,574.0,
,,,,,,,R,0.7360594795539034,0.7333333333333333,0.7346938775510204,270.0,
,,,,,,0.8113612004287245,,,,,,
,,,,,,,macro avg,0.7733920069690955,0.6988155050089827,0.7255638867951638,933.0,
,,,,,,,weighted avg,0.8069985728854344,0.8113612004287245,0.8057858651841333,933.0,
2,2e-05,8,4,0.1,128,0.8220793140407289,,,,,,
,,,,,,,L,0.6428571428571429,0.5056179775280899,0.5660377358490566,89.0,
,,,,,,,N,0.834375,0.9303135888501742,0.8797364085667215,574.0,
,,,,,,,R,0.8430493273542601,0.6962962962962963,0.7626774847870182,270.0,
,,,,,,0.8220793140407289,,,,,,
,,,,,,,macro avg,0.7734271567371342,0.7107426208915202,0.7361505430675988,933.0,
,,,,,,,weighted avg,0.8186161351553439,0.8220793140407289,0.8159367394430429,933.0,
3,2e-05,8,4,0.1,128,0.8242229367631297,,,,,,
,,,,,,,L,0.5824175824175825,0.5955056179775281,0.5888888888888889,89.0,
,,,,,,,N,0.8640939597315436,0.8972125435540069,0.8803418803418803,574.0,
,,,,,,,R,0.8170731707317073,0.7444444444444445,0.7790697674418605,270.0,
,,,,,,0.8242229367631297,,,,,,
,,,,,,,macro avg,0.7545282376269444,0.7457208686586597,0.74943351222421,933.0,
,,,,,,,weighted avg,0.8236172066652002,0.8242229367631297,0.8232327841764767,933.0,
4,2e-05,8,4,0.1,128,0.8231511254019293,,,,,,
,,,,,,,L,0.5955056179775281,0.5955056179775281,0.5955056179775281,89.0,
,,,,,,,N,0.8673469387755102,0.8885017421602788,0.8777969018932874,574.0,
,,,,,,,R,0.80078125,0.7592592592592593,0.779467680608365,270.0,
,,,,,,0.8231511254019293,,,,,,
,,,,,,,macro avg,0.7545446022510127,0.7477555397990221,0.7509234001597269,933.0,
,,,,,,,weighted avg,0.8221522833409891,0.8231511254019293,0.822413392766351,933.0,
1,2e-05,8,4,0.1,256,0.8060021436227224,,,,,,
,,,,,,,L,0.6515151515151515,0.48314606741573035,0.5548387096774193,89.0,
,,,,,,,N,0.8743362831858407,0.8606271777003485,0.8674275680421423,574.0,
,,,,,,,R,0.7119205298013245,0.7962962962962963,0.7517482517482518,270.0,
,,,,,,0.8060021436227224,,,,,,
,,,,,,,macro avg,0.7459239881674389,0.713356513804125,0.7246715098226044,933.0,
,,,,,,,weighted avg,0.8060797621434926,0.8060021436227224,0.8041330087776076,933.0,
2,2e-05,8,4,0.1,256,0.8231511254019293,,,,,,
,,,,,,,L,0.6129032258064516,0.6404494382022472,0.6263736263736264,89.0,
,,,,,,,N,0.891500904159132,0.8588850174216028,0.8748890860692103,574.0,
,,,,,,,R,0.759581881533101,0.8074074074074075,0.7827648114901257,270.0,
,,,,,,0.8231511254019293,,,,,,
,,,,,,,macro avg,0.754662003832895,0.7689139543437524,0.7613425079776541,933.0,
,,,,,,,weighted avg,0.8267492112519327,0.8231511254019293,0.8245231374633585,933.0,
3,2e-05,8,4,0.1,256,0.842443729903537,,,,,,
