epoch,learning_rate,batch_size,num_epochs,dropout_rate,max_length,accuracy,class_name,precision,recall,f1-score,support,time
,,,,,,,weighted avg,0.7740678824721379,0.775,0.7733595837906382,360.0,
1,2e-05,8,2,0.1,256,0.7694444444444445,,,,,,
,,,,,,,L,0.8089887640449438,0.6990291262135923,0.75,103.0,
,,,,,,,N,0.7511961722488039,0.9022988505747126,0.8198433420365535,174.0,
,,,,,,,R,0.7741935483870968,0.5783132530120482,0.6620689655172414,83.0,
,,,,,,0.7694444444444445,,,,,,
,,,,,,,macro avg,0.7781261615602815,0.7265470766001177,0.7439707691845983,360.0,
,,,,,,,weighted avg,0.7730334477334725,0.7694444444444445,0.7634846268119204,360.0,
2,2e-05,8,2,0.1,256,0.7777777777777778,,,,,,
,,,,,,,L,0.79,0.7669902912621359,0.7783251231527094,103.0,
,,,,,,,N,0.7842105263157895,0.8563218390804598,0.8186813186813187,174.0,
,,,,,,,R,0.7428571428571429,0.6265060240963856,0.6797385620915033,83.0,
,,,,,,0.7777777777777778,,,,,,
,,,,,,,macro avg,0.7723558897243108,0.7499393848129937,0.7589150013085103,360.0,
,,,,,,,weighted avg,0.7763327067669172,0.7777777777777778,0.7751009383024259,360.0,
1,2e-05,8,2,0.3,128,0.7666666666666667,,,,,,
,,,,,,,L,0.7596153846153846,0.7669902912621359,0.7632850241545893,103.0,
,,,,,,,N,0.7743589743589744,0.867816091954023,0.8184281842818428,174.0,
,,,,,,,R,0.7540983606557377,0.5542168674698795,0.6388888888888888,83.0,
,,,,,,0.7666666666666667,,,,,,
,,,,,,,macro avg,0.7626909065433655,0.7296744168953463,0.7402006991084403,360.0,
,,,,,,,weighted avg,0.7654694724674233,0.7666666666666667,0.7612573314742809,360.0,
2,2e-05,8,2,0.3,128,0.7833333333333333,,,,,,
,,,,,,,L,0.7663551401869159,0.7961165048543689,0.780952380952381,103.0,
,,,,,,,N,0.8043478260869565,0.8505747126436781,0.8268156424581006,174.0,
,,,,,,,R,0.7536231884057971,0.6265060240963856,0.6842105263157895,83.0,
,,,,,,0.7833333333333333,,,,,,
,,,,,,,macro avg,0.7747753848932231,0.7577324138648108,0.763992849908757,360.0,
,,,,,,,weighted avg,0.7817828494890665,0.7833333333333333,0.7808152519722646,360.0,
1,2e-05,8,2,0.3,256,0.7472222222222222,,,,,,
,,,,,,,L,0.8181818181818182,0.6116504854368932,0.7,103.0,
,,,,,,,N,0.7464788732394366,0.9137931034482759,0.8217054263565892,174.0,
,,,,,,,R,0.6714285714285714,0.5662650602409639,0.6143790849673203,83.0,
,,,,,,0.7472222222222222,,,,,,
,,,,,,,macro avg,0.7453630876166087,0.6972362163753777,0.7120281704413031,360.0,
,,,,,,,weighted avg,0.749690618458224,0.7472222222222222,0.7390839117731502,360.0,
2,2e-05,8,2,0.3,256,0.7777777777777778,,,,,,
,,,,,,,L,0.8247422680412371,0.7766990291262136,0.8,103.0,
,,,,,,,N,0.7708333333333334,0.8505747126436781,0.8087431693989071,174.0,
,,,,,,,R,0.7323943661971831,0.6265060240963856,0.6753246753246753,83.0,
,,,,,,0.7777777777777778,,,,,,
,,,,,,,macro avg,0.7759899891905845,0.7512599219554258,0.7613559482411941,360.0,
,,,,,,,weighted avg,0.7773949611183711,0.7777777777777778,0.7754812764648831,360.0,
1,2e-05,8,3,0.1,128,0.6861111111111111,,,,,,
,,,,,,,L,0.8055555555555556,0.5631067961165048,0.6628571428571428,103.0,
,,,,,,,N,0.8410596026490066,0.7298850574712644,0.7815384615384615,174.0,
,,,,,,,R,0.45255474452554745,0.7469879518072289,0.5636363636363636,83.0,
,,,,,,0.6861111111111111,,,,,,
,,,,,,,macro avg,0.6997233009100365,0.6799932684649993,0.6693439893439893,360.0,
,,,,,,,weighted avg,0.7413295468854718,0.6861111111111111,0.6973438783438782,360.0,
2,2e-05,8,3,0.1,128,0.7583333333333333,,,,,,
,,,,,,,L,0.8354430379746836,0.6407766990291263,0.7252747252747253,103.0,
,,,,,,,N,0.8108108108108109,0.8620689655172413,0.8356545961002786,174.0,
,,,,,,,R,0.59375,0.6867469879518072,0.6368715083798883,83.0,
,,,,,,0.7583333333333333,,,,,,
,,,,,,,macro avg,0.7466679495951648,0.7298642174993916,0.732600276584964,360.0,
,,,,,,,weighted avg,0.767813788867982,0.7583333333333333,0.7582431433896553,360.0,
3,2e-05,8,3,0.1,128,0.7777777777777778,,,,,,
,,,,,,,L,0.7669902912621359,0.7669902912621359,0.7669902912621359,103.0,
,,,,,,,N,0.8135593220338984,0.8275862068965517,0.8205128205128205,174.0,
,,,,,,,R,0.7125,0.6867469879518072,0.6993865030674846,83.0,
,,,,,,0.7777777777777778,,,,,,
,,,,,,,macro avg,0.7643498710986781,0.7604411620368317,0.7622965382808137,360.0,
,,,,,,,weighted avg,0.7769356167608288,0.7777777777777778,0.7772730847884222,360.0,
1,2e-05,8,3,0.1,256,0.7638888888888888,,,,,,
,,,,,,,L,0.8089887640449438,0.6990291262135923,0.75,103.0,
,,,,,,,N,0.7789473684210526,0.8505747126436781,0.8131868131868132,174.0,
,,,,,,,R,0.6790123456790124,0.6626506024096386,0.6707317073170732,83.0,
,,,,,,0.7638888888888888,,,,,,
,,,,,,,macro avg,0.7556494927150029,0.7374181470889697,0.7446395068346288,360.0,
,,,,,,,weighted avg,0.7645019708145845,0.7638888888888888,0.7622645477828404,360.0,
2,2e-05,8,3,0.1,256,0.7611111111111111,,,,,,
,,,,,,,L,0.7572815533980582,0.7572815533980582,0.7572815533980582,103.0,
,,,,,,,N,0.7837837837837838,0.8333333333333334,0.807799442896936,174.0,
