epoch,learning_rate,batch_size,num_epochs,dropout_rate,max_length,accuracy,class_name,precision,recall,f1-score,support,time
1,2e-05,8,2,0.1,256,0.7773109243697479,,,,,,
,,,,,,,L,0.6591928251121076,0.7205882352941176,0.6885245901639344,204.0,
,,,,,,,N,0.8407079646017699,0.8735632183908046,0.8568207440811725,435.0,
,,,,,,,R,0.717948717948718,0.37333333333333335,0.49122807017543857,75.0,
,,,,,,0.7773109243697479,,,,,,
,,,,,,,macro avg,0.7392831692208652,0.6558282623394185,0.6788578014735153,714.0,
,,,,,,,weighted avg,0.7759516173260416,0.7773109243697479,0.7703335368794265,714.0,
2,2e-05,8,2,0.1,256,0.8067226890756303,,,,,,
,,,,,,,L,0.7463414634146341,0.75,0.7481662591687042,204.0,
,,,,,,,N,0.8536036036036037,0.871264367816092,0.8623435722411832,435.0,
,,,,,,,R,0.676923076923077,0.5866666666666667,0.6285714285714286,75.0,
,,,,,,0.8067226890756303,,,,,,
,,,,,,,macro avg,0.7589560479804383,0.7359770114942528,0.746360419993772,714.0,
,,,,,,,weighted avg,0.8043983989823302,0.8067226890756303,0.8051655853476015,714.0,
1,2e-05,8,2,0.3,128,0.7871148459383753,,,,,,
,,,,,,,L,0.6785714285714286,0.7450980392156863,0.7102803738317757,204.0,
,,,,,,,N,0.843010752688172,0.9011494252873563,0.8711111111111111,435.0,
,,,,,,,R,0.72,0.24,0.36,75.0,
,,,,,,0.7871148459383753,,,,,,
,,,,,,,macro avg,0.7471940604198668,0.6287491548343475,0.6471304949809622,714.0,
,,,,,,,weighted avg,0.7831067911035381,0.7871148459383753,0.7714713299650079,714.0,
2,2e-05,8,2,0.3,128,0.8165266106442577,,,,,,
,,,,,,,L,0.7684729064039408,0.7647058823529411,0.7665847665847666,204.0,
,,,,,,,N,0.8558758314855875,0.8873563218390804,0.871331828442438,435.0,
,,,,,,,R,0.6833333333333333,0.5466666666666666,0.6074074074074074,75.0,
,,,,,,0.8165266106442577,,,,,,
,,,,,,,macro avg,0.7692273570742874,0.7329096236195628,0.7484413341448706,714.0,
,,,,,,,weighted avg,0.8127793551857626,0.8165266106442577,0.8136809430130371,714.0,
1,2e-05,8,2,0.3,256,0.7689075630252101,,,,,,
,,,,,,,L,0.6194331983805668,0.75,0.6784922394678492,204.0,
,,,,,,,N,0.8590909090909091,0.8689655172413793,0.864,435.0,
,,,,,,,R,0.6666666666666666,0.24,0.35294117647058826,75.0,
,,,,,,0.7689075630252101,,,,,,
,,,,,,,macro avg,0.7150635913793808,0.6196551724137931,0.6318111386461459,714.0,
,,,,,,,weighted avg,0.7704046469526346,0.7689075630252101,0.7573151331746995,714.0,
2,2e-05,8,2,0.3,256,0.8067226890756303,,,,,,
,,,,,,,L,0.7069767441860465,0.7450980392156863,0.7255369928400954,204.0,
,,,,,,,N,0.8648648648648649,0.8827586206896552,0.8737201365187713,435.0,
,,,,,,,R,0.7272727272727273,0.5333333333333333,0.6153846153846154,75.0,
,,,,,,0.8067226890756303,,,,,,
,,,,,,,macro avg,0.7663714454412128,0.7203966644128915,0.7382139149144941,714.0,
,,,,,,,weighted avg,0.8053010176129192,0.8067226890756303,0.8042460113149736,714.0,
1,2e-05,8,3,0.1,128,0.7955182072829131,,,,,,
,,,,,,,L,0.7287234042553191,0.6715686274509803,0.6989795918367347,204.0,
,,,,,,,N,0.8277310924369747,0.9057471264367816,0.8649835345773875,435.0,
,,,,,,,R,0.74,0.49333333333333335,0.592,75.0,
,,,,,,0.7955182072829131,,,,,,
