epoch,learning_rate,batch_size,num_epochs,dropout_rate,max_length,accuracy,class_name,precision,recall,f1-score,support,time
,,,,,,,weighted avg,0.7889225683059482,0.7889688249400479,0.7881572434906717,834.0,
1,2e-05,8,3,0.1,128,0.7422062350119905,,,,,,
,,,,,,,L,0.8675496688741722,0.6390243902439025,0.7359550561797753,205.0,
,,,,,,,N,0.6899441340782123,0.7576687116564417,0.7222222222222222,326.0,
,,,,,,,R,0.7415384615384616,0.7953795379537953,0.767515923566879,303.0,
,,,,,,0.7422062350119905,,,,,,
,,,,,,,macro avg,0.7663440881636153,0.7306908799513798,0.7418977339896254,834.0,
,,,,,,,weighted avg,0.7523448725118183,0.7422062350119905,0.7420534242230968,834.0,
2,2e-05,8,3,0.1,128,0.7877697841726619,,,,,,
,,,,,,,L,0.8548387096774194,0.775609756097561,0.8132992327365729,205.0,
,,,,,,,N,0.761437908496732,0.7147239263803681,0.7373417721518988,326.0,
,,,,,,,R,0.7748538011695907,0.8745874587458746,0.8217054263565892,303.0,
,,,,,,0.7877697841726619,,,,,,
,,,,,,,macro avg,0.7970434731145808,0.7883070470746012,0.7907821437483536,834.0,
,,,,,,,weighted avg,0.7892702582832033,0.7877697841726619,0.786662475561826,834.0,
3,2e-05,8,3,0.1,128,0.7817745803357314,,,,,,
,,,,,,,L,0.8465608465608465,0.7804878048780488,0.8121827411167513,205.0,
,,,,,,,N,0.7531645569620253,0.7300613496932515,0.7414330218068536,326.0,
,,,,,,,R,0.7720364741641338,0.8382838283828383,0.8037974683544303,303.0,
,,,,,,0.7817745803357314,,,,,,
,,,,,,,macro avg,0.7905872925623352,0.7829443276513796,0.7858044104260117,834.0,
,,,,,,,weighted avg,0.7829780225255711,0.7817745803357314,0.7814811270376028,834.0,
1,2e-05,8,3,0.1,256,0.7446043165467626,,,,,,
,,,,,,,L,0.8103448275862069,0.6878048780487804,0.7440633245382586,205.0,
,,,,,,,N,0.6845070422535211,0.745398773006135,0.7136563876651982,326.0,
,,,,,,,R,0.7770491803278688,0.7821782178217822,0.7796052631578947,303.0,
,,,,,,0.7446043165467626,,,,,,
,,,,,,,macro avg,0.7573003500558656,0.7384606229588991,0.7457749917871173,834.0,
,,,,,,,weighted avg,0.7490598166296937,0.7446043165467626,0.7450903580887767,834.0,
2,2e-05,8,3,0.1,256,0.7793764988009593,,,,,,
,,,,,,,L,0.8502673796791443,0.775609756097561,0.8112244897959183,205.0,
,,,,,,,N,0.7329376854599406,0.7576687116564417,0.7450980392156863,326.0,
,,,,,,,R,0.7870967741935484,0.8052805280528053,0.7960848287112561,303.0,
,,,,,,0.7793764988009593,,,,,,
,,,,,,,macro avg,0.7901006131108778,0.779519665268936,0.7841357859076202,834.0,
,,,,,,,weighted avg,0.7814542216724345,0.7793764988009593,0.7798761202541816,834.0,
3,2e-05,8,3,0.1,256,0.7889688249400479,,,,,,
,,,,,,,L,0.8333333333333334,0.8048780487804879,0.8188585607940446,205.0,
,,,,,,,N,0.7612903225806451,0.7239263803680982,0.7421383647798742,326.0,
,,,,,,,R,0.7883435582822086,0.8481848184818482,0.8171701112877583,303.0,
,,,,,,0.7889688249400479,,,,,,
,,,,,,,macro avg,0.7943224047320624,0.7923297492101448,0.7927223456205589,834.0,
,,,,,,,weighted avg,0.7888274300409266,0.7889688249400479,0.7882561817760299,834.0,
1,2e-05,8,3,0.3,128,0.7553956834532374,,,,,,
,,,,,,,L,0.8041237113402062,0.7609756097560976,0.7819548872180451,205.0,
,,,,,,,N,0.7765151515151515,0.6288343558282209,0.6949152542372882,326.0,
,,,,,,,R,0.7154255319148937,0.8877887788778878,0.792341678939617,303.0,
,,,,,,0.7553956834532374,,,,,,
,,,,,,,macro avg,0.7653547982567505,0.759199581487402,0.75640394013165,834.0,
,,,,,,,weighted avg,0.7611069980682188,0.7553956834532374,0.7517058195200949,834.0,
2,2e-05,8,3,0.3,128,0.7817745803357314,,,,,,
,,,,,,,L,0.7932692307692307,0.8048780487804879,0.7990314769975787,205.0,
,,,,,,,N,0.75,0.7269938650306749,0.7383177570093458,326.0,
,,,,,,,R,0.8064516129032258,0.8250825082508251,0.8156606851549756,303.0,
,,,,,,0.7817745803357314,,,,,,
,,,,,,,macro avg,0.7832402812241522,0.7856514740206627,0.7843366397206334,834.0,
